data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note_it,note_en
2020-06-09T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,91,4,95,472,567,-65,1,2248,451,3266,84700,57880,dc-IT-0040,dc-EN-0040
2020-06-09T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,1,0,1,13,14,1,1,359,27,400,33185,32395,,
2020-06-09T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,7,2,9,86,95,-2,0,2217,292,2604,72652,34607,,
2020-06-09T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,18,0,18,50,68,-9,0,994,97,1159,77216,75154,,
2020-06-09T17:00:00,ITA,15,Campania,40.83956555,14.25084984,73,3,76,599,675,-42,5,3732,426,4833,220662,110583,,
2020-06-09T17:00:00,ITA,08,Emilia-Romagna,44.49436681,11.3417208,226,31,257,1899,2156,-126,18,21605,4185,27946,367485,218890,,
2020-06-09T17:00:00,ITA,06,Friuli Venezia Giulia,45.6494354,13.76813649,21,2,23,105,128,-16,0,2816,340,3284,148889,86257,,
2020-06-09T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,462,47,509,2061,2570,-45,23,4515,766,7851,279572,225930,,
2020-06-09T17:00:00,ITA,07,Liguria,44.41149315,8.9326992,119,5,124,125,249,1,8,8076,1509,9834,118891,65073,,
2020-06-09T17:00:00,ITA,03,Lombardia,45.46679409,9.190347404,2660,96,2756,15541,18297,-1022,192,55967,16317,90581,836313,496273,,
2020-06-09T17:00:00,ITA,11,Marche,43.61675973,13.5188753,32,0,32,960,992,-83,0,4763,992,6747,115510,70335,,
2020-06-09T17:00:00,ITA,14,Molise,41.55774754,14.65916051,0,2,2,118,120,1,2,295,23,438,17162,16411,,
2020-06-09T17:00:00,ITA,01,Piemonte,45.0732745,7.680687483,599,39,638,3033,3671,-195,21,23258,3961,30890,348770,224293,,
2020-06-09T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,76,5,81,532,613,-85,0,3373,526,4512,135625,90248,,
2020-06-09T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,9,1,10,44,54,-2,-1,1176,131,1361,64272,54707,dc-IT-0042,dc-EN-0042
2020-06-09T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,39,6,45,808,853,0,2,2323,278,3454,168562,142495,,
2020-06-09T17:00:00,ITA,09,Toscana,43.76923077,11.25588885,46,17,63,565,628,-93,1,8440,1077,10145,277092,195695,,
2020-06-09T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,6,1,7,74,81,0,3,3894,464,4439,96527,51934,,
2020-06-09T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,12,2,14,15,29,0,3,1330,76,1435,77427,55145,,
2020-06-09T17:00:00,ITA,02,Valle d'Aosta,45.73750286,7.320149366,7,0,7,1,8,0,0,1039,144,1191,16040,12436,,
2020-06-09T17:00:00,ITA,05,Veneto,45.43490485,12.33845213,77,0,77,927,1004,-76,4,16226,1961,19191,762098,358948,,
