data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note_it,note_en
2020-06-12T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,76,4,80,448,528,-11,4,2290,453,3271,88739,60229,,
2020-06-12T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,0,1,1,11,12,0,0,362,27,401,34377,33587,,
2020-06-12T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,8,2,10,91,101,2,2,2216,291,2608,74859,35974,dc-IT-0044,dc-EN-0044
2020-06-12T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,16,1,17,30,47,-5,0,1017,97,1161,80063,78001,,
2020-06-12T17:00:00,ITA,15,Campania,40.83956555,14.25084984,61,2,63,283,346,-264,-229,3832,430,4608,230551,115842,dc-IT-0046,dc-EN-0046
2020-06-12T17:00:00,ITA,08,Emilia-Romagna,44.49436681,11.3417208,200,17,217,1600,1817,-183,33,22015,4196,28028,393539,231752,,
2020-06-12T17:00:00,ITA,06,Friuli Venezia Giulia,45.6494354,13.76813649,18,0,18,90,108,-4,3,2840,342,3290,157909,92278,,
2020-06-12T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,293,47,340,1882,2222,-295,27,4913,781,7916,291869,237100,,
2020-06-12T17:00:00,ITA,07,Liguria,44.41149315,8.9326992,103,3,106,143,249,-1,7,8106,1516,9871,124320,67544,,
2020-06-12T17:00:00,ITA,03,Lombardia,45.46679409,9.190347404,2357,97,2454,14570,17024,-316,272,57775,16405,91204,873831,519095,,
2020-06-12T17:00:00,ITA,11,Marche,43.61675973,13.5188753,22,0,22,728,750,-152,1,5009,993,6752,119045,72169,,
2020-06-12T17:00:00,ITA,14,Molise,41.55774754,14.65916051,1,1,2,112,114,-2,0,302,23,439,18112,17279,,
2020-06-12T17:00:00,ITA,01,Piemonte,45.0732745,7.680687483,527,30,557,2340,2897,-286,31,24096,3996,30989,361164,230888,,
2020-06-12T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,61,2,63,376,439,-28,2,3544,532,4515,143844,94456,,
2020-06-12T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,10,1,11,31,42,-1,1,1190,131,1363,67069,56937,,
2020-06-12T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,34,3,37,804,841,-8,0,2335,279,3455,176233,147871,,
2020-06-12T17:00:00,ITA,09,Toscana,43.76923077,11.25588885,36,14,50,460,510,-11,7,8575,1080,10165,286693,202577,,
2020-06-12T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,5,1,6,62,68,-3,2,3911,464,4443,100400,53453,,
2020-06-12T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,10,1,11,13,24,-2,0,1336,76,1436,80190,56914,,
2020-06-12T17:00:00,ITA,02,Valle d'Aosta,45.73750286,7.320149366,6,0,6,3,9,3,0,1038,144,1191,16374,12671,,
2020-06-12T17:00:00,ITA,05,Veneto,45.43490485,12.33845213,49,0,49,800,849,-73,0,16383,1967,19199,795260,367579,,
