data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi,totale_positivi_test_molecolare,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido,codice_nuts_1,codice_nuts_2
2021-02-20T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,567,75,642,11841,12483,106,387,36497,1610,,,50590,898728,463490,Dal totale dei casi positivi è stato sottratto un caso in quanto duplicato,5,,,50590,0,704882,193846,ITF,ITF1
2021-02-20T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,79,4,83,3463,3546,11,88,10870,364,,,14780,236564,140512,"IL NUMERO TOTALE DEI DECESSI COMPRENDE 12 PAZIENTI NON RESIDENTI, DECEDUTI  IN STRUTTURE OSPEDALIERE DELLA REGIONE BASILICATA. ",1,,,14780,0,229688,6876,ITF,ITF5
2021-02-20T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,163,15,178,6420,6598,98,218,29153,665,,,36416,566590,535040,,1,*,,36410,6,557585,9005,ITF,ITF6
2021-02-20T17:00:00,ITA,15,Campania,40.83956555,14.25084984,1289,112,1401,68951,70352,1123,1677,177000,4106,,,251458,2774505,1935326,,17,,,247592,3866,2695976,78529,ITF,ITF3
2021-02-20T17:00:00,ITA,08,Emilia-Romagna,44.49436681,11.341720800000001,1899,176,2075,33058,35133,196,1724,198733,10304,,,244170,3603939,1454701,"A seguito di verifica, sono stati eliminati 16 casi,  in quanto giudicati non casi COVID-19",11,,,244079,91,3271027,332912,ITH,ITH5
2021-02-20T17:00:00,ITA,06,Friuli Venezia Giulia,45.6494354,13.76813649,348,60,408,8844,9252,-109,326,61671,2756,,,73679,1291733,462473,,6,,,69463,4216,1214064,77669,ITH,ITH4
2021-02-20T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,1883,228,2111,33335,35446,-162,921,183616,5704,,,224766,3871085,2707237,,9,,,222750,2016,3302407,568678,ITI,ITI4
2021-02-20T17:00:00,ITA,07,Liguria,44.41149315,8.9326992,509,53,562,4275,4837,5,361,67102,3569,,,75508,983717,420762,in Regione Liguria la positività al test antigenico rapido è seguita da conferma con test molecolare,2,,,75508,0,896513,87204,ITC,ITC3
2021-02-20T17:00:00,ITA,03,Lombardia,45.46679409,9.190347404,3722,382,4104,49261,53365,1576,3019,495393,28008,,,576766,6331879,3021909,,31,,,571580,5186,6014678,317201,ITC,ITC4
2021-02-20T17:00:00,ITA,11,Marche,43.61675973,13.5188753,532,80,612,8081,8693,192,547,52381,2177,,,63251,787557,476674,,3,,,63251,0,736191,51366,ITI,ITI3
2021-02-20T17:00:00,ITA,14,Molise,41.55774754,14.65916051,91,13,104,1603,1707,24,93,7969,331,,,10007,155374,140464,,2,,,10007,0,155084,290,ITF,ITF2
2021-02-20T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,249,36,285,6846,7131,-147,477,43172,974,,,51277,666158,193455,,2,,,41482,9795,475986,190172,ITH,ITH1
2021-02-20T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,162,27,189,2835,3024,140,312,27505,1194,,,31723,585615,167613,,3,,,26434,5289,541772,43843,ITH,ITH2
2021-02-20T17:00:00,ITA,01,Piemonte,45.0732745,7.680687483,1857,130,1987,10621,12608,171,765,216282,9257,,,238147,2423607,1201114,,5,,,234093,4054,2013821,409786,ITC,ITC1
2021-02-20T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,1251,164,1415,31669,33084,-246,905,102858,3759,,,139701,1487903,831381,,13,,,139183,518,1444416,43487,ITF,ITF4
2021-02-20T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,277,29,306,12974,13280,-49,73,26266,1109,,,40655,717300,517658,,2,,Si segnala il decesso dei paz.:  - 1 UOMO 95 aa Residente nella Provincia del Sud Sardegna  - 1 UOMO 82 aa Residente nella Provincia di Oristano - 2 residenti nella Provincia di Nuoro  - 1 DONNA 83 aa Residente nella Provincia di Sassari  - 1 DONNA 82 aa Residente nella Provincia di Sassari  - 1 DONNA 98 aa Residente nella Provincia di Sassari ,40639,16,617898,99402,ITG,ITG2
2021-02-20T17:00:00,ITA,19,Sicilia,38.11569725,13.362356699999998,862,145,1007,28899,29906,-1663,474,114692,3981,,,148579,2252267,1090761,,3,,,148579,0,1681846,570421,ITG,ITG1
