data;visitatori_picco_ore_18;totale_visitatori_giorno;totale_visitatori_progressivo  ;note
08/03/2020;150000;823742;823742;
09/03/2020;150000;950000;1773742;
10/03/2020;165000;1116934;2890676;
11/03/2020;180000;1497752;4388428;
12/03/2020;350000;2037482;6425910;
13/03/2020;90000;1232557;7658467;
14/03/2020;250000;1077946;8736413;
15/03/2020;175000;823542;9559955;
16/03/2020;200000;883922;10443877;
17/03/2020;180000;994669;11438546;
18/03/2020;210000;981057;12419603;
19/03/2020;200000;1245513;13665116;
20/03/2020;285000;1682688;15347804;
21/03/2020;279000;1573936;16921740;
22/03/2020;310000;1906429;18828169;
23/03/2020;306000;1577784;20405953;
24/03/2020;530911;1993868;22399821;
25/03/2020;290736;1293310;23693131;
26/03/2020;233318;1171149;24864280;
27/03/2020;263195;1332554;26196834;
28/03/2020;151713;975048;27171882;
29/03/2020;165795;921898;28093780;
30/03/2020;204738;1119384;29213164;
31/03/2020;217701;1257319;30470483;
01/04/2020;212104;1239018;31709501;
02/04/2020;277316;1157213;32866714;
03/04/2020;148661;870827;33737541;
04/04/2020;215902;858202;34595743;
05/04/2020;103462;626907;35222650;
06/04/2020;105879;717762;35940412;
07/04/2020;113210;644714;36585126;
08/04/2020;117341;625354;37210480;
09/04/2020;153450;636590;37847070;
10/04/2020;121427;675468;38522538;
11/04/2020;101307;573989;39096527;
12/04/2020;78941;460613;39557140;
13/04/2020;85433;574258;40131398;
14/04/2020;95709;641314;40772712;
15/04/2020;105090;664355;41437067;
16/04/2020;164178;679187;42116254;
17/04/2020;151515;588513;42704767;
18/04/2020;129124;534710;43239477;ultima conferenza stampa giornaliera (17/4)
19/04/2020;75283;441895;43681372;
20/04/2020;109707;491987;44173359;conferenza stampa
21/04/2020;122601;534442;44707801;
22/04/2020;138752;550103;45257904;
23/04/2020;83300;478578;45736482;conferenza stampa
24/04/2020;97373;495392;46231874;
25/04/2020;63060;418502;46650376;
26/04/2020;58708;379013;47029389;
27/04/2020;60759;408480;47437869;conferenza stampa
28/04/2020;114653;482301;47920170;
29/04/2020;63935;453756;48373926;
30/04/2020;60561;463521;48837447;ultima conferenza stampa
01/05/2020;79809;416504;49253951;
02/05/2020;84209;425391;49679342;
03/05/2020;57613;356143;50035485;
04/05/2020;58179;355160;50390645;
05/05/2020;54578;373176;50763821;
06/05/2020;50135;345172;51108993;
07/05/2020;69692;361951;51470944;
08/05/2020;56637;336824;51807768;
09/05/2020;49318;294432;52102200;
10/05/2020;34768;258036;52360236;
11/05/2020;53534;265843;52626079;
12/05/2020;52862;310110;52936189;
13/05/2020;91028;359365;53295554;
14/05/2020;55060;329967;53625521;
15/05/2020;59060;302106;53927627;
16/05/2020;48539;258469;54186096;
17/05/2020;42093;216046;54402142;
18/05/2020;30073;190941;54593083;Fase2
19/05/2020;43676;240085;54833168;
20/05/2020;49951;251952;55085120;
21/05/2020;32325;212199;55297319;
22/05/2020;29899;208011;55505330;
23/05/2020;38701;203496;55708826;
24/05/2020;24265;182259;55891085;
25/05/2020;31701;202782;56093867;
26/05/2020;37415;240237;56334104;
27/05/2020;27911;199421;56533525;
28/05/2020;29947;193335;56726860;
29/05/2020;42748;190355;56917215;
30/05/2020;39086;191546;57108761;
31/05/2020;20570;151912;57260673;
01/06/2020;28493;199999;57460672;
02/06/2020;27903;167052;57627724;
03/06/2020;22258;165818;57793542;
04/06/2020;25104;180638;57974180;Fase3
05/06/2020;32194;191171;58165351;
06/06/2020;30353;176187;58341538;
07/06/2020;20958;132450;58473988;
08/06/2020;21082;139049;58613037;
09/06/2020;21955;139548;58752585;
10/06/2020;23791;152208;58904793;
11/06/2020;24615;146503;59051296;
12/06/2020;24952;158168;59209464;
13/06/2020;19025;130851;59340315;
14/06/2020;14725;97066;59437381;
15/06/2020;21073;105132;59542513;
16/06/2020;28723;130600;59673113;
17/06/2020;20110;124379;59797492;
18/06/2020;21855;127705;59925197;
19/06/2020;15334;114231;60039428;
20/06/2020;34518;121903;60161331;
21/06/2020;12000;75619;60236950;
22/06/2020;10673;81633;60318583;
23/06/2020;14564;108222;60426805;
24/06/2020;20358;115669;60542474;
25/06/2020;32290;146352;60688826;
26/06/2020;27129;195507;60884333;Nuova modalità aggiornamento dati sanitari
27/06/2020;30000;198537;61082870;
28/06/2020;39482;186320;61269190;
29/06/2020;31615;160347;61429537;
30/06/2020;23408;163414;61592951;
01/07/2020;22000;168604;61761555;
02/07/2020;30000;168976;61930531;
03/07/2020;22500;138367;62068898;
04/07/2020;20000;136200;62205098;
05/07/2020;17500;121430;62326528;
06/07/2020;18500;132623;62459151;
07/07/2020;18738;142031;62601182;
08/07/2020;13321;125193;62726375;
09/07/2020;14507;120167;62846542;
10/07/2020;13538;116349;62962891;
11/07/2020;12310;104310;63067201;
12/07/2020;12370;94586;63161787;
13/07/2020;10358;89354;63251141;
14/07/2020;14535;115989;63367130;
15/07/2020;11762;101334;63468464;
16/07/2020;13000;107142;63575606;
17/07/2020;11115;104641;63680247;
18/07/2020;10191;103880;63784127;
19/07/2020;7541;77923;63862050;
20/07/2020;7870;81578;63943628;
21/07/2020;10234;93544;64037172;
22/07/2020;8894;88086;64125258;
23/07/2020;10866;95001;64220259;
24/07/2020;10196;98533;64318792;
25/07/2020;10560;96402;64415194;
26/07/2020;7500;72535;64487729;
27/07/2020;6477;67305;64555034;
28/07/2020;9261;94794;64649828;
29/07/2020;8484;83653;64733481;
30/07/2020;8777;86688;64820169;
31/07/2020;9383;81985;64902154;
01/08/2020;12249;86068;64988222;
02/08/2020;7361;65899;65054121;
03/08/2020;7755;73560;65127681;
